,HMC,UL,BBY,BLNK,ANTM,KO,CTVA,CVS,EPC,ETSY,EXC,F,FOSL,FMS,GME,CL,HP,SJM,EPC,VFC,SIG,LEVI,LULU,MSFT,TAP,OC,PEP,PFE,RL,RDFN,SAM,SAP,BNS,SIX,SBUX,TGT,TD,CLX,CZR,HSY,VFC,UPWK,VZ,VRTX,FB,WBA,WSFS,SPY
2020-06-01,26.37,54.39,77.5,1.78,290.08,46.98,26.8,65.64,30.03,78.59,38.84,5.87,3.12,42.6,4.14,72.73,20.27,115.35,30.03,58.09,10.76,13.81,308.82,182.86,37.98,53.88,132.99,35.46,76.7,29.59,569.26,128.51,41.42,23.97,78.34,119.49,44.25,204.21,11.48,136.45,58.09,12.22,55.78,286.609,231.94,43.3,27.88,305.58
2020-06-02,26.48,54.66,80.55,1.78,294.25,46.89,28.01,66.86,29.88,81.84,38.94,5.9,3.44,43.35,4.18,72.43,21.79,115.18,29.88,59.34,11.3,14.28,312.49,185.0,39.31,53.77,132.68,36.16,78.4,31.135,568.34,130.43,42.23,23.33,77.79,118.85,44.98,206.76,11.39,137.17,59.34,12.48,56.39,284.21,232.83,43.53,28.21,308.13
2020-06-03,27.0,55.69,82.23,1.8899,289.1,47.9,28.48,66.87,30.13,80.61,39.91,6.19,3.81,43.32,4.45,71.65,22.69,114.39,30.13,64.01,14.27,15.34,323.7,185.36,40.55,55.17,132.8,36.16,84.68,32.56,555.93,133.68,43.7,25.33,79.59,121.75,46.28,205.97,11.75,134.22,64.01,12.2,56.84,277.01,230.06,43.59,29.32,312.2117
2020-06-04,26.93,55.72,79.92,2.1674,282.09,47.92,30.18,66.52,29.78,80.25,38.98,6.57,4.37,43.25,4.47,70.66,24.99,109.09,29.78,64.08,15.65,15.44,317.46,182.95,42.31,55.99,130.6,36.0,84.92,33.45,529.92,134.33,43.75,25.17,78.74,119.96,46.25,204.23,12.14,133.44,64.08,12.1,57.22,272.74,226.29,44.2,29.34,311.31
2020-06-05,27.98,56.26,82.53,2.2,287.69,49.15,30.69,68.37,31.74,78.76,40.36,7.345,5.24,43.95,4.14,72.41,26.83,107.43,31.74,68.29,15.05,16.06,319.5,187.5,42.39,58.49,132.41,35.9975,89.5,34.83,522.33,135.74,45.03,25.28,82.14,121.57,48.375,197.59,12.2,135.53,68.29,12.35,57.77,265.68,230.78,45.35,32.05,319.27
2020-06-08,28.09,56.53,83.7,2.19,300.59,49.75,29.99,70.555,32.72,76.48,41.86,7.52,8.1,43.72,4.99,73.52,28.29,111.16,32.72,68.08,16.88,15.86,315.21,188.47,43.37,60.135,132.21,36.56,90.27,34.94,515.73,136.61,45.62,27.01,83.57,122.36,49.17,198.565,12.36,135.52,68.08,12.22,58.02,265.02,231.42,47.01,32.76,323.25
2020-06-09,27.8,55.6,81.6,2.08,290.97,49.03,29.615,69.52,31.81,76.32,40.51,7.26,5.0301,43.44,4.955,73.31,26.44,108.45,31.81,64.45,14.16,15.44,316.2,190.07,41.75,58.55,132.97,36.23,85.49,33.88,533.9,136.785,45.28,26.33,82.38,120.72,48.42,202.12,12.16,133.53,64.45,12.24,57.9,270.72,238.69,45.28,32.75,320.81
2020-06-10,27.93,56.36,81.68,2.35,288.54,48.62,29.15,67.5,30.06,79.81,40.0,6.815,5.075,43.65,5.06,74.33,24.72,108.73,30.06,63.56,12.28,14.69,323.24,196.82,39.47,57.92,134.13,35.93,80.63,33.99,523.87,136.61,44.8,24.525,79.01,119.99,47.53,207.3,11.88,135.43,63.56,12.44,58.09,274.01,236.68,44.28,30.6,319.01
2020-06-11,25.79,54.74,77.26,2.3,264.55,45.569,27.12,63.28,28.2,77.59,38.055,6.135,4.375,41.87,4.37,73.12,20.82,106.24,28.2,59.81,11.083,13.67,308.5047,186.47,36.55,51.44,127.84,33.325,73.99,32.1,509.21,129.57,42.09,21.975,72.57,118.04,44.54,204.97,11.2,129.19,59.81,11.375,56.435,263.71,224.45,40.76,28.15,300.62
2020-06-12,26.15,54.74,77.08,2.2601,265.61,45.655,27.73,63.71,27.8,78.25,37.87,6.4,4.7211,41.97,4.4891,72.915,22.26,104.59,27.8,59.2,11.16,13.4,295.6121,188.14,36.975,52.715,128.88,33.457,73.59,31.42,513.795,129.75,42.8,22.0,74.15,117.3594,45.59,205.74,11.37,128.67,59.2,11.605,56.255,269.11,227.3401,41.32,27.97,304.28
2020-06-15,26.34,55.02,80.03,2.38,262.34,46.31,26.78,63.32,26.52,83.92,38.31,6.51,4.77,42.03,4.69,72.9,23.12,105.81,26.52,63.12,11.73,14.14,303.05,189.09,38.29,54.83,130.57,33.37,73.77,34.21,552.6,130.43,42.76,23.59,76.97,118.16,45.59,208.11,11.72,130.13,63.12,12.42,56.16,268.05,232.47,41.48,27.97,307.03
2020-06-16,27.3,56.31,83.5,2.41,267.43,46.79,27.82,65.6,28.33,84.5,38.57,6.55,5.11,42.78,4.64,73.56,23.12,108.08,28.33,65.98,12.12,14.43,310.62,193.67,39.8,56.73,131.8,33.46,76.44,34.97,541.98,133.63,43.31,24.24,77.86,119.23,46.18,208.94,12.06,132.64,65.98,12.12,57.0,273.6,235.81,42.14,28.61,312.93
2020-06-17,27.22,57.02,83.23,2.44,265.54,46.57,27.35,65.0,28.66,86.39,38.45,6.33,4.85,43.04,4.76,73.83,21.83,109.05,28.66,63.61,11.75,14.17,303.69,194.2,38.77,56.22,131.765,33.55,74.48,34.66,536.77,134.51,43.01,23.6,77.1,118.28,45.63,211.92,12.33,132.28,63.61,11.95,56.65,280.13,235.53,42.16,27.27,311.56
2020-06-18,27.27,56.86,82.23,2.395,265.48,46.99,27.5,64.48,28.37,87.03,38.2,6.325,4.8,42.83,4.92,73.59,21.65,108.59,28.37,63.48,11.78,13.78,302.98,196.32,39.08,55.795,132.8,33.24,73.94,36.39,533.9,135.14,42.49,23.4,76.305,117.29,45.42,214.58,12.12,132.54,63.48,12.445,56.89,279.18,235.975,41.98,27.55,311.74
2020-06-19,26.74,57.38,81.14,2.53,266.33,46.06,27.2,64.55,28.45,95.49,37.565,6.245,5.14,42.29,4.81,73.38,21.46,108.95,28.45,63.27,11.13,13.39,297.63,195.03,38.0,55.18,131.32,33.47,71.37,37.27,533.82,137.09,42.05,21.96,75.465,120.455,45.24,217.79,12.27,129.5,63.27,12.24,56.155,293.25,238.65,44.05,26.89,308.56
2020-06-22,26.95,57.21,84.86,2.91,265.36,45.74,27.59,64.3,28.22,96.3,37.57,6.28,4.82,42.9,4.87,73.09,21.63,108.95,28.22,62.6,11.94,13.44,304.7899,200.58,37.95,55.11,131.03,33.11,73.28,38.41,535.93,140.98,41.92,21.51,75.41,122.43,45.4,216.9895,12.09,130.56,62.6,13.55,55.66,293.16,239.3,43.23,27.2,310.68
2020-06-23,27.0,57.21,85.84,2.66,269.0,45.62,27.41,64.43,29.12,101.22,37.25,6.16,4.91,43.52,4.84,72.93,20.91,106.44,29.12,62.67,11.6,13.5,301.21,201.889,37.97,55.13,131.33,32.77,73.46,39.69,535.51,141.07,41.87,21.69,75.49,121.48,45.52,213.42,12.44,130.29,62.67,13.46,54.94,295.99,242.14,42.81,27.11,312.03
2020-06-24,26.29,56.31,83.82,2.54,257.25,44.66,26.07,63.21,29.08,98.161,36.475,5.95,4.44,42.66,4.41,72.05,19.13,106.21,29.08,59.05,10.38,12.9973,295.4,197.84,36.49,52.96,129.6,32.2,70.61,38.13,530.48,135.84,40.83,19.775,73.72,119.75,44.24,212.01,12.06,127.92,59.05,12.93,53.95,291.19,234.08,41.17,25.99,304.12
2020-06-25,26.25,56.53,84.72,2.7299,260.91,44.92,26.2,64.02,29.84,101.31,35.41,6.03,4.37,43.62,4.46,72.62,19.9,105.67,29.84,59.78,10.02,12.92,295.12,200.36,35.59,54.51,131.39,32.3,70.36,40.41,533.6,137.67,41.1,19.89,73.85,119.81,44.74,214.93,11.96,128.64,59.78,14.21,54.28,295.19,235.47,42.02,26.95,307.31
2020-06-26,25.33,56.17,84.75,3.015,255.65,43.57,25.92,63.45,29.22,102.54,34.72,5.91,4.17,42.74,4.38,71.49,18.65,102.98,29.22,57.07,9.84,12.22,289.66,196.33,34.43,54.16,128.93,32.04,67.7,38.79,563.71,136.8,39.79,18.6,71.53,117.0,43.51,215.3,11.77,125.96,57.07,14.15,53.2,285.99,215.86,41.19,25.65,300.01
2020-06-29,25.58,55.25,86.34,4.0,259.28,44.36,26.14,64.45,30.71,102.75,35.99,6.02,4.47,42.83,4.37,72.46,19.15,105.08,30.71,60.35,10.65,13.26,294.35,198.5,35.42,55.16,131.16,32.65,72.58,39.36,548.01,138.48,40.71,19.39,73.485,118.6,44.1,217.63,12.07,127.62,60.35,14.26,54.7,285.19,220.71,42.31,27.66,304.43
2020-06-30,25.55,54.84,87.24,5.6833,262.99,44.64,26.78,64.96,31.16,106.249,36.28,6.09,4.65,43.29,4.33,73.24,19.5,105.78,31.16,60.94,10.26,13.39,312.14,203.5,34.36,55.81,132.21,32.7,72.5,41.9,536.9,140.0,41.22,19.21,73.59,119.92,44.61,219.36,12.13,129.6,60.94,14.43,55.05,290.59,227.05,42.38,28.67,308.57
2020-07-01,25.37,55.11,87.33,4.8219,268.68,44.81,27.02,64.545,30.2,111.11,37.36,5.97,4.33,43.82,4.44,73.05,18.52,105.21,30.2,60.58,10.96,13.7,308.62,204.66,35.06,53.48,132.34,33.74,70.69,41.67,555.67,140.13,40.76,19.87,74.03,118.95,44.06,219.54,12.165,130.11,60.58,14.97,54.67,286.28,237.53,40.87,27.15,310.57
2020-07-02,25.83,55.68,87.41,5.2501,267.0,44.9,27.57,64.71,30.91,110.69,37.49,6.04,4.435,44.28,4.29,73.28,18.43,105.02,30.91,61.57,10.6,13.35,304.67,206.21,35.33,54.06,132.86,34.51,70.804,41.94,556.98,142.92,41.56,19.53,73.77,119.15,44.65,222.17,12.31,129.86,61.57,14.37,54.79,291.34,233.46,41.97,26.91,312.18
2020-07-06,26.15,55.04,87.7,8.38,269.0,45.23,27.53,64.94,31.49,112.98,37.4,6.19,4.3,44.16,4.24,73.45,19.1,105.88,31.49,63.0,10.57,14.4,314.34,210.69,35.69,55.72,133.27,34.51,71.4,42.4,554.89,147.58,41.55,19.87,75.43,119.24,45.23,221.49,12.09,129.44,63.0,14.44,55.24,291.44,240.3,43.16,27.47,316.99
2020-07-07,25.67,54.6,85.55,7.09,264.89,45.22,27.14,63.94,31.87,112.21,37.0,6.1272,4.14,43.65,4.09,73.97,18.29,106.1,31.87,59.84,10.22,13.84,306.75,208.24,34.66,55.23,133.57,34.03,68.87,40.37,581.56,144.06,40.38,19.05,74.27,118.06,44.26,223.51,11.93,129.21,59.84,14.84,55.05,299.11,240.86,42.22,26.04,313.72
2020-07-08,25.37,54.56,87.17,7.54,262.4,45.08,25.85,63.15,31.27,111.91,37.16,6.1,4.13,43.08,4.26,74.49,18.53,104.8,31.27,60.69,10.82,12.675,309.87,212.84,34.74,56.71,134.23,33.75,69.56,41.67,587.68,146.94,40.52,19.51,74.11,117.71,44.64,225.62,12.13,128.57,60.69,15.12,55.38,295.95,243.57,42.26,26.0,316.12
2020-07-09,25.02,53.71,84.95,7.49,255.0,43.915,25.75,61.29,30.78,114.5,36.62,5.85,3.82,42.37,4.21,73.32,17.48,103.38,30.78,58.25,10.11,12.425,315.25,214.4,33.25,55.12,132.69,33.47,67.48,40.11,593.64,152.67,39.85,19.11,73.59,117.91,43.24,229.54,12.29,126.75,58.25,16.4,53.96,295.4,244.46,39.01,24.9,314.42
2020-07-10,25.28,54.22,84.88,7.09,254.99,45.15,26.61,62.64,31.45,111.25,37.38,6.1,4.0,42.49,4.34,73.69,18.67,105.17,31.45,60.73,10.18,12.6,314.2,213.65,34.65,55.31,134.5,33.83,68.98,37.12,603.67,153.42,40.88,20.31,74.29,118.87,44.11,229.77,12.22,127.75,60.73,16.07,54.48,294.45,245.06,40.11,26.27,317.61
2020-07-13,25.82,54.77,85.6,5.9701,257.56,45.25,26.84,62.63,31.08,104.555,37.46,6.07,3.87,41.62,4.26,73.42,17.91,104.69,31.08,60.04,10.32,12.39,305.33,207.1,34.32,54.28,134.91,35.21,69.68,35.88,589.635,150.93,41.3,19.48,72.69,118.72,44.65,225.77,12.14,127.86,60.04,14.5501,54.45,284.74,239.02,39.59,26.77,314.81
2020-07-14,25.94,55.0,86.87,5.9,263.42,45.87,27.09,63.69,30.75,103.72,37.87,6.37,3.94,42.17,4.09,74.85,18.96,107.19,30.75,60.24,10.69,12.32,308.25,208.39,35.08,56.98,135.43,35.235,69.96,35.49,622.51,153.87,41.24,19.12,72.72,120.08,44.74,230.52,12.205,131.88,60.24,13.87,55.44,293.83,239.73,40.11,26.7,318.89
2020-07-15,26.5,55.22,88.41,5.72,267.14,46.38,27.93,64.58,30.72,101.97,38.05,6.74,4.51,42.53,4.19,74.69,19.37,105.88,30.72,62.67,11.75,12.64,312.52,208.05,35.77,58.59,133.6889,35.72,74.25,37.26,640.39,156.62,41.88,21.73,75.6,121.72,45.71,225.51,12.465,132.0,62.67,13.97,55.06,295.11,240.29,40.68,27.96,321.865
2020-07-16,26.42,55.21,88.36,5.99,264.31,46.235,27.94,65.035,30.64,103.25,38.05,6.8797,4.275,42.79,4.17,74.99,19.21,106.08,30.63,62.33,11.85,12.45,313.2,203.92,36.07,59.46,133.89,35.59,74.6,37.31,630.61,155.25,42.09,21.16,74.4,121.95,45.555,227.91,12.32,134.53,62.33,13.8,55.79,290.68,240.95,41.35,28.03,320.81
2020-07-17,26.23,55.74,87.98,6.48,266.35,46.82,28.35,65.36,30.93,102.68,39.39,6.81,4.135,43.76,3.96,75.19,18.13,106.71,30.93,59.71,11.55,12.36,316.84,202.87,36.09,60.23,134.68,36.24,73.32,38.79,642.43,156.32,41.67,20.54,74.16,121.67,45.39,228.37,12.415,136.48,59.71,13.94,56.3,294.53,241.98,41.42,26.87,321.67
2020-07-20,26.22,55.27,88.37,6.33,259.0,46.07,27.72,63.9,29.93,106.7,38.32,6.66,3.9,44.09,3.85,74.2,18.06,105.3,29.93,57.91,11.35,12.0,326.85,211.49,35.01,59.8,133.11,36.5,71.22,40.42,650.91,159.7,41.37,20.23,74.96,119.8,45.52,227.74,12.39,135.51,57.91,14.69,55.87,303.11,245.42,40.45,26.18,324.36
2020-07-21,25.87,55.56,90.28,6.09,265.72,47.19,28.35,64.52,30.18,104.55,38.74,6.69,4.1,44.77,4.015,74.04,19.7,106.58,30.18,59.68,11.73,12.15,325.03,208.75,35.85,59.83,134.45,36.69,71.53,39.61,654.29,162.49,41.95,20.725,75.42,120.22,46.04,226.73,38.38,137.31,59.68,14.16,55.84,291.4,241.76,40.42,27.7,324.96
2020-07-22,25.97,55.84,97.32,7.01,268.17,48.46,28.66,63.78,29.31,104.23,38.99,6.85,4.0,45.58,4.12,74.14,19.29,107.61,29.31,59.69,12.05,12.03,326.57,211.7533,35.8,61.89,135.99,38.565,71.33,41.14,664.13,164.4,42.01,20.54,77.23,123.15,45.87,227.55,38.2,138.46,59.69,14.08,55.76,291.28,239.8027,40.69,27.41,326.82
2020-07-23,25.88,59.67,96.08,7.08,269.82,48.29,28.67,63.81,30.19,102.46,38.655,6.98,3.98,45.455,4.12,74.23,20.33,108.43,30.19,60.12,12.28,12.2,320.01,202.6,36.55,61.215,137.08,38.42,71.67,41.66,658.07,161.27,41.79,20.78,75.37,122.34,45.65,227.93,36.57,146.38,60.12,13.69,55.91,284.52,232.61,40.34,29.15,322.935
2020-07-24,25.73,60.17,97.01,6.75,270.49,48.5,28.52,63.34,29.41,101.58,37.78,6.8872,3.86,44.59,4.03,74.34,20.04,108.13,29.41,59.91,11.8,12.33,321.55,201.3,36.48,61.73,136.08,37.67,71.45,40.23,828.34,158.65,41.38,20.15,75.78,123.75,45.05,226.9,33.76,145.69,59.91,13.4,56.845,278.55,230.82,40.51,27.95,320.86
2020-07-27,26.12,61.05,97.93,7.0548,264.0,48.48,28.8015,62.58,29.35,105.95,37.58,6.94,3.7,45.42,4.01,74.64,20.47,108.84,29.35,60.82,11.53,12.18,331.55,203.85,36.14,63.57,137.67,37.6,71.59,43.49,814.0,164.88,41.475,19.46,76.46,122.71,44.93,229.29,29.74,146.29,60.82,14.06,56.875,284.46,233.5,39.84,28.46,323.18
2020-07-28,25.8,61.24,97.19,7.26,265.24,48.18,28.19,63.27,29.4,102.48,37.98,7.0099,3.62,44.89,3.95,75.73,19.44,109.26,29.4,60.82,11.63,12.57,322.87,201.74,36.33,61.22,137.38,39.03,71.38,39.45,819.89,160.36,41.17,19.2,74.8,123.31,44.55,228.46,30.29,145.73,60.82,14.04,57.5,278.77,230.1,40.68,28.42,321.2
2020-07-29,25.79,62.27,98.1,9.62,281.57,48.02,28.83,64.22,30.15,108.69,38.56,6.91,3.62,46.55,4.06,76.21,18.46,110.48,30.15,61.89,12.29,12.32,326.25,204.06,36.76,62.64,137.97,39.27,72.73,41.52,816.48,164.66,41.77,18.5,77.42,123.68,44.93,231.04,33.5,145.82,61.89,14.42,57.465,278.72,233.27,41.15,28.95,325.09
2020-07-30,25.305,61.44,100.06,12.46,277.3,47.69,28.49,64.0,29.55,112.4,38.47,6.74,3.43,44.09,4.105,76.92,18.05,109.35,29.55,60.5,11.22,12.25,323.45,203.89,37.45,61.29,137.69,38.74,71.09,42.94,797.39,160.16,41.46,17.31,76.63,124.61,44.51,231.15,33.37,145.29,60.5,14.88,57.32,279.46,234.6,40.63,28.7,323.98
2020-07-31,24.35,60.48,99.61,11.0299,273.82,47.24,28.56,62.93,29.88,118.34,38.61,6.6,3.31,43.85,4.01,77.23,17.84,109.29,29.88,60.35,10.735,12.16,325.61,205.1,37.52,60.47,137.7,38.48,71.34,41.62,812.55,159.2,41.12,17.39,76.54,125.88,44.27,236.12,31.03,145.4,60.35,15.02,57.49,272.0,253.71,40.71,28.56,326.55
2020-08-03,25.08,61.26,100.9,10.5311,270.8,46.32,28.52,63.87,30.94,126.49,37.99,6.695,3.35,44.71,4.15,76.59,18.13,110.98,30.94,59.81,11.03,12.07,328.59,216.54,36.81,62.14,136.7,38.36,69.63,40.7,817.65,162.13,41.17,16.37,75.5,127.82,44.49,231.96,32.2,144.92,59.81,16.81,57.24,279.51,251.84,41.07,28.11,328.76
2020-08-04,25.96,61.75,100.54,11.35,270.89,46.7,28.71,65.0,30.04,129.62,38.74,6.86,3.45,44.26,4.44,76.76,18.55,113.27,30.04,59.47,11.5,12.16,328.14,213.35,36.76,62.5,137.47,38.39,66.66,41.37,830.64,160.26,41.46,17.15,75.14,130.48,44.71,237.58,33.95,144.3,59.47,17.52,57.92,275.71,249.83,40.94,27.87,330.03
2020-08-05,25.62,61.2,101.96,12.5791,275.435,47.23,28.585,64.4504,28.42,135.56,37.73,6.96,4.11,42.96,4.63,76.18,19.26,111.15,28.42,61.94,12.26,12.41,340.4,212.95,36.53,64.5,136.25,38.44,68.5,41.86,842.67,161.63,42.0712,17.19,75.78,129.37,45.27,237.16,35.5,142.33,61.94,15.08,57.54,273.23,249.13,40.81,28.69,332.06
2020-08-06,25.25,60.41,102.75,12.1798,271.54,47.48,25.42,64.11,28.39,130.655,37.9,6.935,4.145,43.305,4.43,75.86,18.64,110.24,28.39,59.99,11.99,12.06,339.18,216.35,36.57,64.93,135.86,38.2798,64.85,43.4,845.34,161.95,42.24,17.75,75.64,129.01,45.47,236.28,37.78,143.67,59.99,13.91,57.84,273.34,265.28,40.89,28.8,334.31
2020-08-07,24.67,59.71,102.9,11.83,276.65,47.8,25.33,64.97,29.28,135.06,38.93,6.87,4.04,42.91,4.16,76.24,18.44,111.01,29.28,61.295,12.71,12.5,342.08,212.44,37.26,66.44,136.73,38.45,65.96,43.7,825.94,161.1,42.49,18.38,75.77,131.78,45.77,237.48,36.98,143.9,61.295,14.86,58.53,272.99,268.5,41.52,30.8,334.55
